Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
04/01/2020,,Female,725,,
04/01/2020,,Male,743,,
04/01/2020,,Not Reported,16,,
04/02/2020,,Female,844,,
04/02/2020,,Male,844,,
04/02/2020,,Not Reported,18,,
04/03/2020,,Female,988,,
04/03/2020,,Male,991,,
04/03/2020,,Not Reported,33,,
04/04/2020,,Female,"1,199",,
04/04/2020,,Male,"1,162",,
04/04/2020,,Not Reported,46,,
04/05/2020,,Female,"1,330",,
04/05/2020,,Male,"1,257",,
04/05/2020,,Not Reported,50,,
04/06/2020,,Female,"1,467",,
04/06/2020,,Male,"1,360",,
04/06/2020,,Not Reported,51,,
04/07/2020,,Female,"1,718",,
04/07/2020,,Male,"1,563",,
04/07/2020,,Not Reported,52,,
04/08/2020,,Female,"1,880",,
04/08/2020,,Male,"1,717",,
04/08/2020,,Not Reported,48,,
04/09/2020,,Female,"2,053",,
04/09/2020,,Male,"1,930",,
04/09/2020,,Not Reported,59,,
04/10/2020,,Female,"2,289",,
04/10/2020,,Male,"2,163",,
04/10/2020,,Not Reported,57,,
04/11/2020,,Female,"2,569",,
04/11/2020,,Male,"2,452",,
04/11/2020,,Not Reported,56,,
04/12/2020,,Female,"2,671",,
04/12/2020,,Male,"2,543",,
04/12/2020,,Not Reported,60,,
04/13/2020,,Female,"2,908",363,60
04/13/2020,,Male,"2,774",536,85
04/13/2020,,Not Reported,65,4,4
04/14/2020,,Female,"3,153",394,61
04/14/2020,,Male,"2,951",580,89
04/14/2020,,Not Reported,67,4,4
04/15/2020,,Female,"3,335",433,78
04/15/2020,,Male,"3,097",611,112
04/15/2020,,Not Reported,68,4,5
04/16/2020,,Female,"3,542",455,86
04/16/2020,,Male,"3,279",655,117
04/16/2020,,Not Reported,68,4,5
04/17/2020,,Female,"3,877",502,98
04/17/2020,,Male,"3,535",714,128
04/17/2020,,Not Reported,79,5,5
04/18/2020,,Female,"4,167",535,109
04/18/2020,,Male,"3,807",756,142
04/18/2020,,Not Reported,79,5,7
04/19/2020,,Female,"4,417",597,116
04/19/2020,,Male,"4,040",820,154
04/19/2020,,Not Reported,80,5,7
04/20/2020,,Female,"4,662",641,127
04/20/2020,,Male,"4,248",854,166
04/20/2020,,Not Reported,80,5,7
04/21/2020,Alexandria,Female,243,30,3
04/21/2020,Alexandria,Male,218,30,6
04/21/2020,Alexandria,Not Reported,1,0,0
04/21/2020,Alleghany,Female,33,5,2
04/21/2020,Alleghany,Male,31,8,1
04/21/2020,Arlington,Female,317,49,9
04/21/2020,Arlington,Male,304,65,14
04/21/2020,Arlington,Not Reported,4,0,0
04/21/2020,Central Shenandoah,Female,256,9,0
04/21/2020,Central Shenandoah,Male,181,14,1
04/21/2020,Central Shenandoah,Not Reported,8,0,0
04/21/2020,Central Virginia,Female,37,2,0
04/21/2020,Central Virginia,Male,52,5,2
04/21/2020,Chesapeake,Female,100,18,3
04/21/2020,Chesapeake,Male,76,21,2
04/21/2020,Chesterfield,Female,199,13,2
04/21/2020,Chesterfield,Male,183,16,7
04/21/2020,Chesterfield,Not Reported,8,0,0
04/21/2020,Chickahominy,Female,119,17,5
04/21/2020,Chickahominy,Male,62,17,7
04/21/2020,Chickahominy,Not Reported,5,1,0
04/21/2020,Crater,Female,78,13,6
04/21/2020,Crater,Male,56,10,3
04/21/2020,Crater,Not Reported,4,2,0
04/21/2020,Cumberland Plateau,Female,12,1,0
04/21/2020,Cumberland Plateau,Male,6,0,0
04/21/2020,Eastern Shore,Female,23,9,1
04/21/2020,Eastern Shore,Male,36,7,0
04/21/2020,Fairfax,Female,"1,036",155,29
04/21/2020,Fairfax,Male,"1,076",228,37
04/21/2020,Fairfax,Not Reported,11,0,0
04/21/2020,Hampton,Female,48,9,0
04/21/2020,Hampton,Male,44,17,1
04/21/2020,Henrico,Female,347,40,36
04/21/2020,Henrico,Male,253,49,35
04/21/2020,Henrico,Not Reported,21,1,6
04/21/2020,Lenowisco,Female,16,5,1
04/21/2020,Lenowisco,Male,16,5,1
04/21/2020,Lord Fairfax,Female,104,9,0
04/21/2020,Lord Fairfax,Male,97,12,0
04/21/2020,Loudoun,Female,239,19,4
04/21/2020,Loudoun,Male,226,40,4
